2021-09-10 09:09:10,828 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":18447,"state":"CANDIDATE","term":27,"voteFor":"192.168.66.1:8848"}, term: 27

2021-09-10 09:09:10,828 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":18864,"state":"CANDIDATE","term":28,"voteFor":"192.168.66.1:8848"}, term: 28

2021-09-10 09:09:10,828 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":19981,"state":"CANDIDATE","term":29,"voteFor":"192.168.66.1:8848"}, term: 29

2021-09-10 09:09:10,828 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":16459,"state":"CANDIDATE","term":30,"voteFor":"192.168.66.1:8848"}, term: 30

2021-09-10 09:09:10,829 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":19376,"state":"CANDIDATE","term":31,"voteFor":"192.168.66.1:8848"}, term: 31

2021-09-10 09:09:10,829 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":18303,"state":"CANDIDATE","term":32,"voteFor":"192.168.66.1:8848"}, term: 32

2021-09-10 09:09:10,829 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":17766,"state":"CANDIDATE","term":33,"voteFor":"192.168.66.1:8848"}, term: 33

2021-09-10 09:09:10,829 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":16743,"state":"CANDIDATE","term":34,"voteFor":"192.168.66.1:8848"}, term: 34

2021-09-10 09:09:10,829 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":18058,"state":"CANDIDATE","term":35,"voteFor":"192.168.66.1:8848"}, term: 35

2021-09-10 09:09:10,829 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":17103,"state":"CANDIDATE","term":36,"voteFor":"192.168.66.1:8848"}, term: 36

2021-09-10 09:09:10,830 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":19970,"state":"CANDIDATE","term":37,"voteFor":"192.168.66.1:8848"}, term: 37

2021-09-10 09:09:10,830 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":19892,"state":"CANDIDATE","term":38,"voteFor":"192.168.66.1:8848"}, term: 38

2021-09-10 09:09:10,830 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":19456,"state":"CANDIDATE","term":39,"voteFor":"192.168.66.1:8848"}, term: 39

2021-09-10 09:09:10,830 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":17156,"state":"CANDIDATE","term":40,"voteFor":"192.168.66.1:8848"}, term: 40

2021-09-10 09:09:10,830 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":18356,"state":"CANDIDATE","term":41,"voteFor":"192.168.66.1:8848"}, term: 41

2021-09-10 09:09:10,830 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":16850,"state":"CANDIDATE","term":42,"voteFor":"192.168.66.1:8848"}, term: 42

2021-09-10 09:09:10,831 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":16252,"state":"CANDIDATE","term":43,"voteFor":"192.168.66.1:8848"}, term: 43

2021-09-10 09:09:10,831 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":15551,"state":"CANDIDATE","term":44,"voteFor":"192.168.66.1:8848"}, term: 44

2021-09-10 09:09:10,831 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":17908,"state":"CANDIDATE","term":45,"voteFor":"192.168.66.1:8848"}, term: 45

2021-09-10 09:09:10,832 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":17576,"state":"CANDIDATE","term":46,"voteFor":"192.168.66.1:8848"}, term: 46

2021-09-10 09:09:10,832 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":15890,"state":"CANDIDATE","term":47,"voteFor":"192.168.66.1:8848"}, term: 47

2021-09-10 09:09:10,832 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":17986,"state":"CANDIDATE","term":48,"voteFor":"192.168.66.1:8848"}, term: 48

